BRA10477,Average=None,QualityFlag=FALSE,QualityValue=FALSE
DateTime,MP1\QFINAL,MP1\QCONTINUITY,MP1\QUANTITY
MM/dd/yyyy h:mm:ss tt,MGD,MGD,MGD
06/19/2024 05:00:00 PM,13.9445526,13.9445526,13.9445526
06/19/2024 06:00:00 PM,14.48402348,14.48402348,14.48402348
06/19/2024 07:00:00 PM,15.2599983,15.2599983,15.2599983
06/19/2024 08:00:00 PM,15.21423243,15.21423243,15.21423243
06/19/2024 09:00:00 PM,15.92495917,15.92495917,15.92495917
06/19/2024 10:00:00 PM,14.46886817,14.46886817,14.46886817
06/19/2024 11:00:00 PM,12.71211586,12.71211586,12.71211586
06/20/2024 12:00:00 AM,9.299713251,9.299713251,9.299713251
06/20/2024 01:00:00 AM,7.889915037,7.889915037,7.889915037
06/20/2024 02:00:00 AM,6.894842097,6.894842097,6.894842097
06/20/2024 03:00:00 AM,6.037510971,6.037510971,6.037510971
06/20/2024 04:00:00 AM,5.930400539,5.930400539,5.930400539
06/20/2024 05:00:00 AM,5.813408117,5.813408117,5.813408117
06/20/2024 06:00:00 AM,7.927812975,7.927812975,7.927812975
06/20/2024 07:00:00 AM,10.58701031,10.58701031,10.58701031
06/20/2024 08:00:00 AM,13.45861993,13.45861993,13.45861993
06/20/2024 09:00:00 AM,14.01122201,14.01122201,14.01122201
06/20/2024 10:00:00 AM,14.01487074,14.01487074,14.01487074
06/20/2024 11:00:00 AM,13.96053782,13.96053782,13.96053782
06/20/2024 12:00:00 PM,14.26829896,14.26829896,14.26829896
06/20/2024 01:00:00 PM,14.46334099,14.46334099,14.46334099
06/20/2024 02:00:00 PM,13.92379882,13.92379882,13.92379882
06/20/2024 03:00:00 PM,13.11763681,13.11763681,13.11763681
06/20/2024 04:00:00 PM,13.14359523,13.14359523,13.14359523
06/20/2024 05:00:00 PM,13.34195446,13.34195446,13.34195446
06/20/2024 06:00:00 PM,14.54451134,14.54451134,14.54451134
06/20/2024 07:00:00 PM,14.74752109,14.74752109,14.74752109
06/20/2024 08:00:00 PM,15.06950293,15.06950293,15.06950293
06/20/2024 09:00:00 PM,15.31194017,15.31194017,15.31194017
06/20/2024 10:00:00 PM,14.64676111,14.64676111,14.64676111
06/20/2024 11:00:00 PM,12.72107926,12.72107926,12.72107926
06/21/2024 12:00:00 AM,9.056900289,9.056900289,9.056900289
06/21/2024 01:00:00 AM,7.103699728,7.103699728,7.103699728
06/21/2024 02:00:00 AM,6.005023573,6.005023573,6.005023573
06/21/2024 03:00:00 AM,5.886943901,5.886943901,5.886943901
06/21/2024 04:00:00 AM,6.062672148,6.062672148,6.062672148
06/21/2024 05:00:00 AM,6.058405066,6.058405066,6.058405066
06/21/2024 06:00:00 AM,7.238305468,7.238305468,7.238305468
06/21/2024 07:00:00 AM,10.48798995,10.48798995,10.48798995
06/21/2024 08:00:00 AM,13.39844042,13.39844042,13.39844042
06/21/2024 09:00:00 AM,13.85017018,13.85017018,13.85017018
06/21/2024 10:00:00 AM,14.57874827,14.57874827,14.57874827
06/21/2024 11:00:00 AM,13.84853143,13.84853143,13.84853143
06/21/2024 12:00:00 PM,15.14869783,15.14869783,15.14869783
06/21/2024 01:00:00 PM,14.11015298,14.11015298,14.11015298
06/21/2024 02:00:00 PM,13.52725114,13.52725114,13.52725114
06/21/2024 03:00:00 PM,13.41677261,13.41677261,13.41677261
06/21/2024 04:00:00 PM,13.88156304,13.88156304,13.88156304
06/21/2024 05:00:00 PM,14.44677196,14.44677196,14.44677196
06/21/2024 06:00:00 PM,14.33223215,14.33223215,14.33223215
06/21/2024 07:00:00 PM,14.64843894,14.64843894,14.64843894
06/21/2024 08:00:00 PM,14.51468029,14.51468029,14.51468029
06/21/2024 09:00:00 PM,14.81825059,14.81825059,14.81825059
06/21/2024 10:00:00 PM,13.7471595,13.7471595,13.7471595
06/21/2024 11:00:00 PM,12.65760349,12.65760349,12.65760349
06/22/2024 12:00:00 AM,10.16411603,10.16411603,10.16411603
06/22/2024 01:00:00 AM,8.22270078,8.22270078,8.22270078
06/22/2024 02:00:00 AM,6.973782287,6.973782287,6.973782287
06/22/2024 03:00:00 AM,5.327116944,5.327116944,5.327116944
06/22/2024 04:00:00 AM,6.30061145,6.30061145,6.30061145
06/22/2024 05:00:00 AM,5.453936779,5.453936779,5.453936779
06/22/2024 06:00:00 AM,6.492204529,6.492204529,6.492204529
06/22/2024 07:00:00 AM,7.85134945,7.85134945,7.85134945
06/22/2024 08:00:00 AM,10.15092285,10.15092285,10.15092285
06/22/2024 09:00:00 AM,12.70483447,12.70483447,12.70483447
