CMMS_ASSET_ID,PI_TAG,BASIN,AREA_FT2,STATION_NAME,TEMPLATE
LS-002408,SOUTH:WES12561,MANDARIN,19.63495408,WESTBERRY HIDEAWAY LN - 12561,_cte_lead
LS-002423,EAST:WHI6267,ARLINGTON EAST,28.3,WHISPERING OAKS DR N - 6267,_cte_lead
LS-000871,EAST:FER6551,ARLINGTON EAST,28.3,FERBER RD - 6551,_cte_lead
LS-002315,EAST:TUS6121,ARLINGTON EAST,28.3,TUSCONY CIR - 6121,_cte_lead
LS-001863,NORTH:RHO6801,BUCKMAN,113.1,RHONE DR - 6801,_cte_lead
LS-001858,NORTH:RES6451,BUCKMAN,50.3,RESTLAWN DR - 6451,_cte_lead
LS-000460,NORTH:BRE2941,BUCKMAN,19.63495408,BREVE DR - 2941,_cte_lead
LS-001468,NORTH:MIN5423,BUCKMAN,19.63495408,MINOSA CT - 5423,_cte_lead
LS-001585,WEST:NOR7764,SOUTHWEST,50.3,NORMANDY BLVD - 7764,_cte_lead
LS-001251,WEST:LAN1171,BUCKMAN,78.5,LANE AVE S - 1171,_cte_lead
LS-001650,WEST:ORT3801,SOUTHWEST,28.3,ORTEGA BLVD - 3801,_cte_lead
LS-001753,WEST:PHY2894,BUCKMAN,28.3,PHYLLIS ST - 2894,_cte_lead
LS-001458,WEST:MIK937,BUCKMAN,28.3,MIKAEL AVE - 937,_cte_lead
LS-001181,EAST:KEN12312,ARLINGTON EAST,78.5,KENSINGTON LAKES DR - 12312,_cte_lead
LS-001130,EAST:IND2142,ARLINGTON EAST,150,INDIAN SPRINGS DR - 2142,_cte_lead
LS-001090,EAST:HOD2003-1,ARLINGTON EAST,50.3,HODGES BLVD - 2003,_cte_lead
LS-001930,EAST:RUN12291,ARLINGTON EAST,50.3,RUNNING RIVER RD S - 12291,_cte_lead
LS-000788,EAST:EBB13107,ARLINGTON EAST,28.3,EBBTIDE CT - 13107,_cte_lead
LS-000574,SOUTH:CHR6511,BUCKMAN,19.63495408,CHRISTOPHER POINT RD W - 6511,_cte_lead
LS-002096,SOUTH:SOU5900,BUCKMAN,50.3,SOUTHPOINT PKWY - 5900,_cte_lead
LS-000370,SOUTH:BEL6868,ARLINGTON EAST,50.3,BELFORT OAKS PL - 6868,_cte_lead
LS-000705,SOUTH:DEE10315,ARLINGTON EAST,28.3,DEERWOOD CLUB RD - 10315,_cte_lead
LS-000347,SOUTH:BEA9465,MANDARIN,19.63495408,BEAUCLERC COVE RD - 9465,_cte_lead
LS-001985,SOUTH:SAN9252,MANDARIN,50.3,SAN JOSE BLVD - 9252,_cte_lead
LS-002022,SOUTH:SCO2620,MANDARIN,28.3,SCOTT MILL DR S - 2620,_cte_lead
LS-001219,SOUTH:LAK11160,MANDARIN,50.3,LAKE MANDARIN CIR W - 11160,_cte_lead
LS-000378,SOUTH:BER4368,MANDARIN,28.3,BERGHLEY CT S - 4368,_cte_leadsp
LS-002269,SOUTH:THO5265,MANDARIN,28.3,THOROUGHBRED BLVD - 5265,_cte_lead
LS-001845,SOUTH:RAT4901,MANDARIN,28.3,RATHBONE DR - 4901,_cte_lead
LS-002072,SOUTH:SKY11078,MANDARIN,28.3,SKYLARK DR - 11078,_cte_lead
LS-001645,SOUTH:OLD4193,MANDARIN,19.63495408,OLDFIELD CROSSING DR - 4193,_cte_leadsp
LS-000669,SOUTH:CYP10255,ARLINGTON EAST,28.3,CYPRESS LAKES DR - 10255,_cte_lead
LS-001031,SOUTH:HAT12402,MANDARIN,50.3,HATTON CHASE LN W - 12402,_cte_lead
LS-002256,SOUTH:TAR4071,MANDARIN,28.3,TAR KILN RD - 4071,_cte_lead
LS-000076,EAST:AGA10398,ARLINGTON EAST,19.63495408,AGAVE RD - 10398,_cte_lead
LS-001220,NORTH:PAL1900,BUCKMAN,28.3,PALMDALE ST - 1900,_cte_leadsp
LS-002288,NORTH:TOR1000,CEDAR BAY,28.3,TORTOISE WAY - 1000,_cte_lead
LS-000627,NORTH:COP10873,CEDAR BAY,28.3,COPPER HILL DR - 10873,_cte_lead
LS-003354,EAST:COR2200,ARLINGTON EAST,28.3,CORPORATE SQUARE CT - 2200,_cte_leadsp
LS-000377,EAST:BEN12869,ARLINGTON EAST,50.3,BENTWATER DR - 12869,_cte_lead
LS-001482,EAST:MON11238,ARLINGTON EAST,28.3,MONUMENT LANDING BLVD - 11238,_cte_lead
LS-000694,EAST:DEC14052,ARLINGTON EAST,19.63495408,DECATUR ST - 14052,_cte_lead
LS-000657,EAST:CRO3810,ARLINGTON EAST,78.5,CROSSWATER BLVD - 3810,_cte_lead
LS-002002,EAST:SAN2197,ARLINGTON EAST,78.5,SAN PABLO RD S - 2197,_cte_lead
LS-002035,EAST:SEV13842,ARLINGTON EAST,19.63495408,SEVEN PINES DR - 13842,_cte_leadsp
LS-000306,EAST:BEA3651,BUCKMAN,28.3,BEACH BLVD - 3651,_cte_lead
LS-001909,NORTH:ROL11300,CEDAR BAY,78.5,ROLLING RIVER BLVD - 11300,_cte_lead
LS-002062,NORTH:SIB8555,BUCKMAN,28.3,SIBBALD RD - 8555,_cte_lead
LS-001402,NORTH:MAR1030,BUCKMAN,50.3,MARCY ST - 1030,_cte_lead
LS-000444,NORTH:BOU1706,BUCKMAN,78.6,BOULEVARD - 1706,_cte_lead
LS-001157,WEST:JES8694,BUCKMAN,50.3,JESSE B SMITH CT - 8694,_cte_lead
LS-001163,WEST:JOL9343,SOUTHWEST,50.3,JOLORU DR - 9343,_cte_lead
LS-001849,WEST:RED1576,SOUTHWEST,28.3,REDBIRD CREEK DR - 1576,_cte_lead
LS-001431,WEST:MCG10516,SOUTHWEST,28.3,MCGIRTS CREEK DR - 10516,_cte_lead
LS-000549,WEST:CHA281,SOUTHWEST,28.3,CHAFFEE RD S - 281,_cte_lead
LS-002444,WEST:WIL5937,SOUTHWEST,50.3,WILSON BLVD - 5937,_cte_leadsp
LS-001921,WEST:ROS4811,SOUTHWEST,19.63495408,ROSSIE LN - 4811,_cte_lead
LS-001841,WEST:RAM7752,SOUTHWEST,28.3,RAMPART RD - 7752,_cte_lead
LS-000118,WEST:ARG7663,SOUTHWEST,113.1,ARGYLE FOREST BLVD - 7663,_cte_lead
LS-000140,WEST:ARR6661,SOUTHWEST,28.3,ARROWROOT DR - 6661,_cte_lead
LS-001048,EAST:HEN3730,BUCKMAN,28.27,HENDRICKS AVE - 3730,_cte_leadsp
LS-000873,SOUTH:FER12901,MANDARIN,19.63495408,FERNBANK LN - 12901,_cte_lead
LS-000762,STJOHNS:DUR800,JCP,28.3,DURBIN CREEK BLVD - 800,_cte_leadsp
