"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ROBITZSCH LN - 5825","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","WILLIAM MILLS ST - 5800","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\WILLIAM MILLS ST - 5800","CMMS Asset ID","Attribute","","LS-002439"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WILLIAM MILLS ST - 5800","PI Tag","Attribute","","NORTH:WIL5800"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WILLIAM MILLS ST - 5800","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WILLIAM MILLS ST - 5800","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\WILLIAM MILLS ST - 5800","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","GAP CREEK DR - 336","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\GAP CREEK DR - 336","CMMS Asset ID","Attribute","","LS-004342"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GAP CREEK DR - 336","PI Tag","Attribute","","STJOHNS:GAP336"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GAP CREEK DR - 336","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GAP CREEK DR - 336","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\GAP CREEK DR - 336","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\SOUTHWEST","BRIAR PATCH PL - 5305","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\BRIAR PATCH PL - 5305","CMMS Asset ID","Attribute","","LS-004345"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BRIAR PATCH PL - 5305","PI Tag","Attribute","","WEST:BRI5305"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BRIAR PATCH PL - 5305","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BRIAR PATCH PL - 5305","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\BRIAR PATCH PL - 5305","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","EDDINGTON WAY - 81","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\EDDINGTON WAY - 81","CMMS Asset ID","Attribute","","LS-004344"
"x","WASTEWATER\EST FLOW\BLACKS FORD\EDDINGTON WAY - 81","PI Tag","Attribute","","STJOHNS:EDD81"
"x","WASTEWATER\EST FLOW\BLACKS FORD\EDDINGTON WAY - 81","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\EDDINGTON WAY - 81","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\EDDINGTON WAY - 81","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","CAMPHOR LNUREL LN - 6450","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\CAMPHOR LNUREL LN - 6450","CMMS Asset ID","Attribute","","LS-004346"
"x","WASTEWATER\EST FLOW\BUCKMAN\CAMPHOR LNUREL LN - 6450","PI Tag","Attribute","","NORTH:CAM6450"
"x","WASTEWATER\EST FLOW\BUCKMAN\CAMPHOR LNUREL LN - 6450","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\CAMPHOR LNUREL LN - 6450","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\CAMPHOR LNUREL LN - 6450","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","TARSUS CT - 5540","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\TARSUS CT - 5540","CMMS Asset ID","Attribute","","LS-004348"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\TARSUS CT - 5540","PI Tag","Attribute","","EAST:TAR5540"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\TARSUS CT - 5540","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\TARSUS CT - 5540","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\TARSUS CT - 5540","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","SKINNER CENTURY LN - 6877","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SKINNER CENTURY LN - 6877","CMMS Asset ID","Attribute","","LS-004350"
"x","WASTEWATER\EST FLOW\BUCKMAN\SKINNER CENTURY LN - 6877","PI Tag","Attribute","","SOUTH:SKI6877"
"x","WASTEWATER\EST FLOW\BUCKMAN\SKINNER CENTURY LN - 6877","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\SKINNER CENTURY LN - 6877","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SKINNER CENTURY LN - 6877","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","HEALTH WALK WAY - 840","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HEALTH WALK WAY - 840","CMMS Asset ID","Attribute","","LS-004353"
"x","WASTEWATER\EST FLOW\BUCKMAN\HEALTH WALK WAY - 840","PI Tag","Attribute","","EAST:HEA840"
"x","WASTEWATER\EST FLOW\BUCKMAN\HEALTH WALK WAY - 840","Wetwell Area","Attribute","","78.54"
"x","WASTEWATER\EST FLOW\BUCKMAN\HEALTH WALK WAY - 840","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HEALTH WALK WAY - 840","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","HORSEBIT CIR - 8132","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HORSEBIT CIR - 8132","CMMS Asset ID","Attribute","","LS-004351"
"x","WASTEWATER\EST FLOW\BUCKMAN\HORSEBIT CIR - 8132","PI Tag","Attribute","","WEST:HOR8132"
"x","WASTEWATER\EST FLOW\BUCKMAN\HORSEBIT CIR - 8132","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\HORSEBIT CIR - 8132","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HORSEBIT CIR - 8132","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","EPPLY DR - 14293","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\EPPLY DR - 14293","CMMS Asset ID","Attribute","","LS-004354"
"x","WASTEWATER\EST FLOW\CEDAR BAY\EPPLY DR - 14293","PI Tag","Attribute","","NORTH:EPP14293"
"x","WASTEWATER\EST FLOW\CEDAR BAY\EPPLY DR - 14293","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\EPPLY DR - 14293","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\EPPLY DR - 14293","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","HAWKES MEADOW DR - 8206","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HAWKES MEADOW DR - 8206","CMMS Asset ID","Attribute","","LS-004356"
"x","WASTEWATER\EST FLOW\BUCKMAN\HAWKES MEADOW DR - 8206","PI Tag","Attribute","","WEST:HAW8206"
"x","WASTEWATER\EST FLOW\BUCKMAN\HAWKES MEADOW DR - 8206","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\HAWKES MEADOW DR - 8206","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HAWKES MEADOW DR - 8206","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","QUEENSGATE CIR - 7303","Element","_Liftstation",""
