"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG"
"LS-001467","MINING TER","5872","WWL:SOUTH:MIN5872"
"LS-000987","GREENLAND RD","5050","WWL:SOUTH:GRE5050"
"LS-000229","BARKOSKIE RD","4501","WWL:SOUTH:BAR4501"
"LS-000599","COLLINS CREEK DR","11800","WWL:SOUTH:COL11800"
"LS-002157","ST AUGUSTINE RD","12001","WWL:SOUTH:STA12001"
"LS-000837","ELMWOOD DR","220","WWL:STJOHNS:ELM220"
"LS-000886","FLORA BRANCH BLVD","1325","WWL:STJOHNS:FLO1325"
"LS-002424","WHISPERING WOODS BLVD","2454","WWL:EAST:WHI2454"
"LS-000366","BECKLEY PL","11082","WWL:SOUTH:BEC11082"
"LS-000284","BEACH BLVD","11325","WWL:EAST:BEA11325"
"LS-001114","HUFFMAN BLVD","2798","WWL:EAST:HUF2798"
"LS-001284","LEM TURNER RD","10600","WWL:NORTH:LEM10600"
"LS-000228","BALMORAL CIR N","528","WWL:NORTH:BAL528"
"LS-000505","CAMDEN RD","11855","WWL:NORTH:CAM11855"
"LS-000451","BOWLAN ST N","544","WWL:EAST:BOW544"
"LS-000594","COACHMAN LAKES DR","2664","WWL:EAST:COA2664"
"LS-000677","DANFORTH DR","3780","WWL:EAST:DAN3780"
"LS-002004","SAN PABLO RD S","3098","WWL:EAST:SAN3098"
"LS-000298","BEACH BLVD","13955","WWL:EAST:BEA13955"
"LS-001713","PHILIPS HWY","3699","WWL:EAST:PHI3699"
"LS-000768","DUVAL RD","14491","WWL:NORTH:DUV14491"
"LS-000438","BLUE WHALE WAY","554","WWL:NORTH:BLU554"
"LS-000775","DUVAL STATION RD","590","WWL:NORTH:DUV590"
"LS-001174","KEN KNIGHT DR W","7260","WWL:NORTH:KEN7260"
"LS-000947","GILCHRIST RD","5772","WWL:NORTH:GIL5772"
"LS-000058","ABEL LN","5180","WWL:WEST:ABE5180"
"LS-000824","ELLIS RD N","1060","WWL:WEST:ELL1060"
"LS-002416","PRITCHARD RD","7615","WWL:WEST:PRI7615"
"LS-001755","PICKETTVILLE RD","1219","WWL:WEST:PIC1219"
"LS-001818","PURCELL DR","579","WWL:WEST:PUR579"
"LS-001065","HICKORY HILL DR","847","WWL:WEST:HIC847"
"LS-002414","WESTGATE DR","857","WWL:WEST:WES857"
"LS-000556","CHALLEN AVE","1894","WWL:WEST:CHA1894"
"LS-000836","ELLIS TRACE DR W","1401","WWL:WEST:ELL1401"
"LS-001403","MARDIS PL E","1573","WWL:WEST:MAR1573"
"LS-000869","FENDER DR","4451","WWL:WEST:FEN4451"
"LS-001704","WESCONNETT BLVD","4815","WWL:WEST:WES4815"
"LS-002015","SANIBEL DR","5060","WWL:WEST:SAN5060"
"LS-001356","LONG BOW RD","4797","WWL:WEST:LON4797"
"LS-001400","MARATHON PKWY","5689","WWL:WEST:MAR5689"
"LS-001779","PLUM LAKE DR E","6972","WWL:WEST:PLU6972"
"LS-002245","SWEET ROSE LN","7405","WWL:WEST:SWE7405"
"LS-000779","EAGLES PERCH DR","7159","WWL:WEST:EAG7159"
"LS-000119","ARGYLE FOREST BLVD","8104","WWL:WEST:ARG8104"
"LS-000702","DEERFIELD POINT DR","3231","WWL:WEST:DEE3231"
"LS-000977","GRANT RD","3929","WWL:EAST:GRA3929"
"LS-002115","SPARROW BRANCH CIR","504","WWL:STJOHNS:SPA504"
"LS-001776","PLANTATION OAKS DR","1826","WWL:SOUTH:PLA1826"
"LS-001505","MOSSY WAY","11629","WWL:SOUTH:MOS11629"
"LS-000720","DEWBERRY DR","702","WWL:STJOHNS:DEW702"
"LS-000723","DICKINSON RD","2843","WWL:SOUTH:DIC2843"
"LS-001459","MILL CREEK RD","1030","WWL:EAST:MIL1030"
"LS-002254","TALLEYRAND AVE","2446","WWL:NORTH:TAL2446"
"LS-001055","HERMITAGE RD E","3231","WWL:EAST:HER3231"
"LS-001361","LORAIN ST","7000","WWL:NORTH:LOR7000"
"LS-000017","68TH ST W","239","WWL:NORTH:68T239"
"LS-001626","OLD KINGS RD","6305","WWL:NORTH:OLD6305"
"LS-000593","CLYDE DR","4618","WWL:NORTH:CLY4618"
"LS-000365","BEAVER ST W","9801","WWL:WEST:BEA9801"
"LS-001116","HUGH EDWARDS DR","2601","WWL:WEST:HUG2601"
"LS-000970","GRAMPELL DR","8100","WWL:WEST:GRA8100"
"LS-001596","NOROAD","8121","WWL:WEST:NOR8121"
"LS-002133","SPRINGTREE RD","8431","WWL:WEST:SPR8431"
"LS-001017","HARBOR VIEW DR","4100","WWL:NORTH:HAR4100"
"LS-001341","LEWIS INDUSTRIAL DR","2010","WWL:WEST:LEW2010"
"LS-000882","FISH RD","10301","WWL:WEST:FIS10301"
"LS-002403","WELLINGTON SPRINGS WAY","10452","WWL:WEST:WEL10452"
"LS-002248","TALBOT AVE","1896","WWL:WEST:TAL1896"
"LS-000233","BARTHOLF AVE","6039","WWL:WEST:BAR6039"
"LS-002018","SAVANNAH AVE","4335","WWL:WEST:SAV4335"
"LS-002257","TARA WOODS LN","5582","WWL:WEST:TAR5582"
"LS-000048","118TH ST","8380","WWL:WEST:1188380"
"LS-002053","SHINDLER DR","6915","WWL:WEST:SHI6915"
"LS-000063","ACANTHUS DR","8752","WWL:WEST:ACA8752"
"LS-002476","YOUNGERMAN CIR","6397","WWL:WEST:YOU6397"
"LS-002665","EMERSON ST","2325","WWL:EAST:EME2325"
"LS-000532","CATTAIL CIR","142","WWL:STJOHNS:CAT142"
"LS-000665","CUNNINGHAM CREEK DR","1238","WWL:STJOHNS:CUN1238"
"LS-001847","LONG CYPRESS TRL","13399","WWL:SOUTH:LON13399"
"LS-001178","KENNEDY LN","10656","WWL:SOUTH:KEN10656"
"LS-000722","DEWBERRY DR","814","WWL:STJOHNS:DEW814"
"LS-000818","EL PRADO RD","1509","WWL:EAST:ELP1509"
"LS-001030","HARVIN RD","6462","WWL:SOUTH:HAR6462"
"LS-001349","LOFBERG DR","2588","WWL:SOUTH:LOF2588"
"LS-002347","UNIVERSITY BLVD S","2800","WWL:EAST:UNI2800"
"LS-002287","TONGA DR","6936","WWL:EAST:TON6936"
"LS-002302","TOWNSQUARE DR","2456","WWL:EAST:TOW2456"
"LS-002012","SANDUSKY AVE S","8808","WWL:EAST:SAN8808"
"LS-000396","BISHOP HATCHER DR S","5738","WWL:NORTH:BIS5738"
"LS-002380","WALCOTT AVE","5004","WWL:NORTH:WAL5004"
